887 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
006 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
315 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
250 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
386 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
790 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
794 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
040 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
141 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
388 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
324 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
828 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
337 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
579 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
683 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
607 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
823 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
918 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
420 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
584 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
685 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
774 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
856 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
889 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
298 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
227 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
163 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
704 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
208 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
653 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
136 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
841 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
367 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
924 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
440 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
814 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
361 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
925 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
500 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
124 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
764 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
906 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
856 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
793 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
071 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
145 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
879 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
447 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
940 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
391 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
